Date,Venue,Crowd,round,Home,Away,Home Score,Away Score,Disposals home,Kicks home,Handballs home,Goals home,Behinds home,Marks home,Clearances home,Tackles home,Contested Possessions home,Uncontested Possessions home,Hit Outs home,Contested Marks home,Marks Inside 50 home,Goal Assists home,Frees home,Frees Against home,Inside 50s home,Rebounds home,Clangers home,One Percenters home,Bounces home,Disposals away,Kicks away,Handballs away,Goals away,Behinds away,Marks away,Clearances away,Tackles away,Contested Possessions away,Uncontested Possessions away,Hit Outs away,Contested Marks away,Marks Inside 50 away,Goal Assists away,Frees away,Frees Against away,Inside 50s away,Rebounds away,Clangers away,One Percenters away,Bounces away
Sat 29 Apr 1:45pm,Gabba,25528,R7,BRL,FRE,115,67,373.0,240.0,133.0,17.0,10.0,112.0,46.0,58.0,157.0,216.0,31.0,8.0,16.0,11.0,13.0,18.0,62.0,32.0,67.0,47.0,1.0,373.0,240.0,133.0,17.0,10.0,112.0,46.0,58.0,157.0,216.0,31.0,8.0,16.0,11.0,13.0,18.0,62.0,32.0,67.0,47.0,1.0
Sat 29 Apr 2:10pm,SCG,31615,R7,SYD,GWS,106,107,353.0,218.0,135.0,16.0,7.0,74.0,45.0,57.0,160.0,191.0,50.0,14.0,12.0,10.0,20.0,17.0,63.0,30.0,64.0,59.0,2.0,353.0,218.0,135.0,16.0,7.0,74.0,45.0,57.0,160.0,191.0,50.0,14.0,12.0,10.0,20.0,17.0,63.0,30.0,64.0,59.0,2.0
Sat 29 Apr 4:35pm,Marvel Stadium,40119,R7,WBD,HAW,94,65,363.0,204.0,159.0,14.0,10.0,97.0,36.0,59.0,120.0,245.0,37.0,5.0,12.0,11.0,19.0,11.0,58.0,36.0,45.0,41.0,12.0,363.0,204.0,159.0,14.0,10.0,97.0,36.0,59.0,120.0,245.0,37.0,5.0,12.0,11.0,19.0,11.0,58.0,36.0,45.0,41.0,12.0
Sat 29 Apr 5:30pm,Optus Stadium,47940,R7,WCE,CAR,44,152,285.0,156.0,129.0,6.0,6.0,57.0,38.0,64.0,115.0,159.0,34.0,2.0,4.0,6.0,16.0,14.0,34.0,33.0,44.0,37.0,6.0,285.0,156.0,129.0,6.0,6.0,57.0,38.0,64.0,115.0,159.0,34.0,2.0,4.0,6.0,16.0,14.0,34.0,33.0,44.0,37.0,6.0
Sat 29 Apr 7:25pm,MCG,29455,R7,MEL,NTH,139,49,419.0,228.0,191.0,22.0,3.0,95.0,39.0,53.0,149.0,269.0,48.0,14.0,16.0,14.0,19.0,18.0,64.0,43.0,54.0,55.0,2.0,419.0,228.0,191.0,22.0,3.0,95.0,39.0,53.0,149.0,269.0,48.0,14.0,16.0,14.0,19.0,18.0,64.0,43.0,54.0,55.0,2.0
Sun 30 Apr 1:10pm,MCG,67457,R7,ESS,GEE,104,132,362.0,196.0,166.0,16.0,6.0,73.0,38.0,52.0,140.0,225.0,48.0,3.0,12.0,12.0,18.0,16.0,47.0,43.0,60.0,51.0,5.0,362.0,196.0,166.0,16.0,6.0,73.0,38.0,52.0,140.0,225.0,48.0,3.0,12.0,12.0,18.0,16.0,47.0,43.0,60.0,51.0,5.0
Sun 30 Apr 3:20pm,Marvel Stadium,23664,R7,RCH,GCS,48,72,339.0,200.0,139.0,6.0,9.0,96.0,43.0,46.0,130.0,210.0,29.0,9.0,11.0,4.0,16.0,18.0,53.0,41.0,57.0,49.0,12.0,339.0,200.0,139.0,6.0,9.0,96.0,43.0,46.0,130.0,210.0,29.0,9.0,11.0,4.0,16.0,18.0,53.0,41.0,57.0,49.0,12.0
Fri 5 May 7:50pm,Marvel Stadium,45458,R8,CAR,BRL,74,100,395.0,226.0,169.0,11.0,5.0,100.0,42.0,71.0,155.0,253.0,54.0,13.0,8.0,9.0,21.0,23.0,47.0,31.0,70.0,51.0,4.0,395.0,226.0,169.0,11.0,5.0,100.0,42.0,71.0,155.0,253.0,54.0,13.0,8.0,9.0,21.0,23.0,47.0,31.0,70.0,51.0,4.0
Sat 6 May 1:45pm,MCG,28293,R8,RCH,WCE,104,58,377.0,217.0,160.0,15.0,8.0,83.0,37.0,59.0,153.0,226.0,51.0,12.0,15.0,13.0,17.0,16.0,65.0,34.0,66.0,60.0,10.0,377.0,217.0,160.0,15.0,8.0,83.0,37.0,59.0,153.0,226.0,51.0,12.0,15.0,13.0,17.0,16.0,65.0,34.0,66.0,60.0,10.0
Sat 6 May 2:10pm,GMHBA Stadium,21415,R8,GEE,ADE,98,72,335.0,203.0,132.0,14.0,11.0,90.0,42.0,70.0,145.0,186.0,50.0,17.0,12.0,10.0,20.0,21.0,53.0,34.0,44.0,40.0,2.0,335.0,203.0,132.0,14.0,11.0,90.0,42.0,70.0,145.0,186.0,50.0,17.0,12.0,10.0,20.0,21.0,53.0,34.0,44.0,40.0,2.0
Sat 6 May 4:35pm,Heritage Bank Stadium,11440,R8,GCS,MEL,85,90,348.0,227.0,121.0,13.0,6.0,94.0,43.0,44.0,149.0,188.0,37.0,11.0,12.0,10.0,23.0,23.0,45.0,48.0,70.0,39.0,7.0,348.0,227.0,121.0,13.0,6.0,94.0,43.0,44.0,149.0,188.0,37.0,11.0,12.0,10.0,23.0,23.0,45.0,48.0,70.0,39.0,7.0
