teams,round,Player,disposals,odds,home,away
geelong v fremantle,R20,neil erasmus,To Get 20 or More Disposals,2.90,GEE,FRE
geelong v fremantle,R20,matt johnson,To Get 20 or More Disposals,3.00,GEE,FRE
geelong v fremantle,R20,lachie schultz,To Get 20 or More Disposals,3.30,GEE,FRE
geelong v fremantle,R20,ethan hughes,To Get 20 or More Disposals,5.50,GEE,FRE
geelong v fremantle,R20,tom stewart,To Get 25 or More Disposals,1.85,GEE,FRE
geelong v fremantle,R20,patrick dangerfield,To Get 25 or More Disposals,2.20,GEE,FRE
geelong v fremantle,R20,mitch duncan,To Get 25 or More Disposals,2.25,GEE,FRE
geelong v fremantle,R20,gryan miers,To Get 25 or More Disposals,2.55,GEE,FRE
geelong v fremantle,R20,max holmes,To Get 25 or More Disposals,2.90,GEE,FRE
geelong v fremantle,R20,jack bowes,To Get 25 or More Disposals,3.15,GEE,FRE
geelong v fremantle,R20,isaac smith,To Get 25 or More Disposals,4.20,GEE,FRE
geelong v fremantle,R20,tom atkins,To Get 25 or More Disposals,4.70,GEE,FRE
geelong v fremantle,R20,zach tuohy,To Get 25 or More Disposals,7.00,GEE,FRE
geelong v fremantle,R20,tanner bruhn,To Get 25 or More Disposals,10.00,GEE,FRE
geelong v fremantle,R20,mark blicavs,To Get 25 or More Disposals,12.00,GEE,FRE
geelong v fremantle,R20,jeremy cameron,To Get 25 or More Disposals,12.50,GEE,FRE
geelong v fremantle,R20,brad close,To Get 25 or More Disposals,16.00,GEE,FRE
geelong v fremantle,R20,caleb serong,To Get 25 or More Disposals,1.23,GEE,FRE
geelong v fremantle,R20,andrew brayshaw,To Get 25 or More Disposals,1.28,GEE,FRE
geelong v fremantle,R20,jaeger o'meara,To Get 25 or More Disposals,2.20,GEE,FRE
geelong v fremantle,R20,luke ryan,To Get 25 or More Disposals,2.20,GEE,FRE
geelong v fremantle,R20,liam henry,To Get 25 or More Disposals,2.55,GEE,FRE
geelong v fremantle,R20,hayden young,To Get 25 or More Disposals,3.15,GEE,FRE
geelong v fremantle,R20,jordan clark,To Get 25 or More Disposals,6.75,GEE,FRE
geelong v fremantle,R20,corey wagner,To Get 25 or More Disposals,8.25,GEE,FRE
geelong v fremantle,R20,neil erasmus,To Get 25 or More Disposals,9.25,GEE,FRE
geelong v fremantle,R20,luke jackson,To Get 25 or More Disposals,9.50,GEE,FRE
geelong v fremantle,R20,matt johnson,To Get 25 or More Disposals,10.00,GEE,FRE
geelong v fremantle,R20,patrick dangerfield,To Get 30 or More Disposals,4.00,GEE,FRE
geelong v fremantle,R20,tom stewart,To Get 30 or More Disposals,4.00,GEE,FRE
geelong v fremantle,R20,gryan miers,To Get 30 or More Disposals,5.00,GEE,FRE
geelong v fremantle,R20,mitch duncan,To Get 30 or More Disposals,5.10,GEE,FRE
geelong v fremantle,R20,max holmes,To Get 30 or More Disposals,6.00,GEE,FRE
geelong v fremantle,R20,jack bowes,To Get 30 or More Disposals,8.25,GEE,FRE
geelong v fremantle,R20,tom atkins,To Get 30 or More Disposals,13.00,GEE,FRE
geelong v fremantle,R20,isaac smith,To Get 30 or More Disposals,14.00,GEE,FRE
geelong v fremantle,R20,zach tuohy,To Get 30 or More Disposals,26.00,GEE,FRE
geelong v fremantle,R20,caleb serong,To Get 30 or More Disposals,1.86,GEE,FRE
geelong v fremantle,R20,andrew brayshaw,To Get 30 or More Disposals,2.10,GEE,FRE
geelong v fremantle,R20,jaeger o'meara,To Get 30 or More Disposals,4.90,GEE,FRE
geelong v fremantle,R20,liam henry,To Get 30 or More Disposals,5.00,GEE,FRE
geelong v fremantle,R20,luke ryan,To Get 30 or More Disposals,5.00,GEE,FRE
geelong v fremantle,R20,hayden young,To Get 30 or More Disposals,8.75,GEE,FRE
geelong v fremantle,R20,jordan clark,To Get 30 or More Disposals,26.00,GEE,FRE
western-bulldogs v greater-western-sydney,R20,bailey dale,To Get 15 or More Disposals,SUS,WBD,GWS
western-bulldogs v greater-western-sydney,R20,bailey smith,To Get 15 or More Disposals,1.07,WBD,GWS
western-bulldogs v greater-western-sydney,R20,ed richards,To Get 15 or More Disposals,1.13,WBD,GWS
western-bulldogs v greater-western-sydney,R20,tim english,To Get 15 or More Disposals,1.13,WBD,GWS
western-bulldogs v greater-western-sydney,R20,caleb poulter,To Get 15 or More Disposals,1.87,WBD,GWS
western-bulldogs v greater-western-sydney,R20,oskar baker,To Get 15 or More Disposals,1.88,WBD,GWS
western-bulldogs v greater-western-sydney,R20,jamarra ugle-hagan,To Get 15 or More Disposals,2.30,WBD,GWS
western-bulldogs v greater-western-sydney,R20,alex keath,To Get 15 or More Disposals,2.50,WBD,GWS
western-bulldogs v greater-western-sydney,R20,laitham vandermeer,To Get 15 or More Disposals,2.95,WBD,GWS
western-bulldogs v greater-western-sydney,R20,taylor duryea,To Get 15 or More Disposals,2.95,WBD,GWS
western-bulldogs v greater-western-sydney,R20,aaron naughton,To Get 15 or More Disposals,3.20,WBD,GWS
western-bulldogs v greater-western-sydney,R20,cody weightman,To Get 15 or More Disposals,4.50,WBD,GWS
western-bulldogs v greater-western-sydney,R20,finn callaghan,To Get 15 or More Disposals,1.10,WBD,GWS
western-bulldogs v greater-western-sydney,R20,harry perryman,To Get 15 or More Disposals,1.11,WBD,GWS
western-bulldogs v greater-western-sydney,R20,isaac cumming,To Get 15 or More Disposals,1.15,WBD,GWS
western-bulldogs v greater-western-sydney,R20,callan ward,To Get 15 or More Disposals,1.19,WBD,GWS
western-bulldogs v greater-western-sydney,R20,nick haynes,To Get 15 or More Disposals,1.19,WBD,GWS
western-bulldogs v greater-western-sydney,R20,brent daniels,To Get 15 or More Disposals,1.21,WBD,GWS
western-bulldogs v greater-western-sydney,R20,sam taylor,To Get 15 or More Disposals,1.24,WBD,GWS
western-bulldogs v greater-western-sydney,R20,connor idun,To Get 15 or More Disposals,1.31,WBD,GWS
western-bulldogs v greater-western-sydney,R20,toby greene,To Get 15 or More Disposals,1.32,WBD,GWS
western-bulldogs v greater-western-sydney,R20,jack buckley,To Get 15 or More Disposals,1.65,WBD,GWS
western-bulldogs v greater-western-sydney,R20,kieren briggs,To Get 15 or More Disposals,1.95,WBD,GWS
western-bulldogs v greater-western-sydney,R20,toby bedford,To Get 15 or More Disposals,2.30,WBD,GWS
western-bulldogs v greater-western-sydney,R20,daniel lloyd,To Get 15 or More Disposals,2.55,WBD,GWS
western-bulldogs v greater-western-sydney,R20,tom liberatore,To Get 20 or More Disposals,1.07,WBD,GWS
western-bulldogs v greater-western-sydney,R20,jack macrae,To Get 20 or More Disposals,1.15,WBD,GWS
western-bulldogs v greater-western-sydney,R20,caleb daniel,To Get 20 or More Disposals,1.16,WBD,GWS
western-bulldogs v greater-western-sydney,R20,bailey dale,To Get 20 or More Disposals,1.23,WBD,GWS
western-bulldogs v greater-western-sydney,R20,bailey smith,To Get 20 or More Disposals,1.32,WBD,GWS
western-bulldogs v greater-western-sydney,R20,ed richards,To Get 20 or More Disposals,1.72,WBD,GWS
western-bulldogs v greater-western-sydney,R20,tim english,To Get 20 or More Disposals,1.72,WBD,GWS
western-bulldogs v greater-western-sydney,R20,caleb poulter,To Get 20 or More Disposals,5.60,WBD,GWS
western-bulldogs v greater-western-sydney,R20,oskar baker,To Get 20 or More Disposals,5.60,WBD,GWS
western-bulldogs v greater-western-sydney,R20,jamarra ugle-hagan,To Get 20 or More Disposals,9.25,WBD,GWS
western-bulldogs v greater-western-sydney,R20,alex keath,To Get 20 or More Disposals,9.75,WBD,GWS
western-bulldogs v greater-western-sydney,R20,lachie whitfield,To Get 20 or More Disposals,1.10,WBD,GWS
western-bulldogs v greater-western-sydney,R20,josh kelly,To Get 20 or More Disposals,1.13,WBD,GWS
western-bulldogs v greater-western-sydney,R20,lachie ash,To Get 20 or More Disposals,1.28,WBD,GWS
western-bulldogs v greater-western-sydney,R20,harry himmelberg,To Get 20 or More Disposals,1.29,WBD,GWS
western-bulldogs v greater-western-sydney,R20,finn callaghan,To Get 20 or More Disposals,1.69,WBD,GWS
western-bulldogs v greater-western-sydney,R20,nick haynes,To Get 20 or More Disposals,1.73,WBD,GWS
western-bulldogs v greater-western-sydney,R20,callan ward,To Get 20 or More Disposals,1.77,WBD,GWS
western-bulldogs v greater-western-sydney,R20,harry perryman,To Get 20 or More Disposals,1.86,WBD,GWS
western-bulldogs v greater-western-sydney,R20,isaac cumming,To Get 20 or More Disposals,1.92,WBD,GWS
western-bulldogs v greater-western-sydney,R20,brent daniels,To Get 20 or More Disposals,2.25,WBD,GWS
western-bulldogs v greater-western-sydney,R20,sam taylor,To Get 20 or More Disposals,2.25,WBD,GWS
western-bulldogs v greater-western-sydney,R20,connor idun,To Get 20 or More Disposals,2.75,WBD,GWS
western-bulldogs v greater-western-sydney,R20,toby greene,To Get 20 or More Disposals,2.75,WBD,GWS
western-bulldogs v greater-western-sydney,R20,jack buckley,To Get 20 or More Disposals,4.20,WBD,GWS
western-bulldogs v greater-western-sydney,R20,kieren briggs,To Get 20 or More Disposals,5.80,WBD,GWS
western-bulldogs v greater-western-sydney,R20,adam treloar,To Get 25 or More Disposals,1.33,WBD,GWS
western-bulldogs v greater-western-sydney,R20,marcus bontempelli,To Get 25 or More Disposals,1.39,WBD,GWS
western-bulldogs v greater-western-sydney,R20,tom liberatore,To Get 25 or More Disposals,1.40,WBD,GWS
western-bulldogs v greater-western-sydney,R20,caleb daniel,To Get 25 or More Disposals,1.71,WBD,GWS
western-bulldogs v greater-western-sydney,R20,jack macrae,To Get 25 or More Disposals,1.86,WBD,GWS
western-bulldogs v greater-western-sydney,R20,bailey dale,To Get 25 or More Disposals,1.99,WBD,GWS
western-bulldogs v greater-western-sydney,R20,bailey smith,To Get 25 or More Disposals,2.05,WBD,GWS
western-bulldogs v greater-western-sydney,R20,ed richards,To Get 25 or More Disposals,3.90,WBD,GWS
western-bulldogs v greater-western-sydney,R20,tim english,To Get 25 or More Disposals,3.90,WBD,GWS
western-bulldogs v greater-western-sydney,R20,stephen coniglio,To Get 25 or More Disposals,1.30,WBD,GWS
western-bulldogs v greater-western-sydney,R20,josh kelly,To Get 25 or More Disposals,1.48,WBD,GWS
western-bulldogs v greater-western-sydney,R20,lachie whitfield,To Get 25 or More Disposals,1.59,WBD,GWS
western-bulldogs v greater-western-sydney,R20,harry himmelberg,To Get 25 or More Disposals,2.18,WBD,GWS
western-bulldogs v greater-western-sydney,R20,lachie ash,To Get 25 or More Disposals,2.25,WBD,GWS
western-bulldogs v greater-western-sydney,R20,nick haynes,To Get 25 or More Disposals,3.35,WBD,GWS
western-bulldogs v greater-western-sydney,R20,callan ward,To Get 25 or More Disposals,3.40,WBD,GWS
western-bulldogs v greater-western-sydney,R20,finn callaghan,To Get 25 or More Disposals,4.10,WBD,GWS
western-bulldogs v greater-western-sydney,R20,isaac cumming,To Get 25 or More Disposals,5.10,WBD,GWS
western-bulldogs v greater-western-sydney,R20,harry perryman,To Get 25 or More Disposals,5.40,WBD,GWS
western-bulldogs v greater-western-sydney,R20,sam taylor,To Get 25 or More Disposals,6.25,WBD,GWS
western-bulldogs v greater-western-sydney,R20,brent daniels,To Get 25 or More Disposals,7.00,WBD,GWS
western-bulldogs v greater-western-sydney,R20,connor idun,To Get 25 or More Disposals,9.75,WBD,GWS
western-bulldogs v greater-western-sydney,R20,toby greene,To Get 25 or More Disposals,10.00,WBD,GWS
western-bulldogs v greater-western-sydney,R20,adam treloar,To Get 30 or More Disposals,2.05,WBD,GWS
western-bulldogs v greater-western-sydney,R20,tom liberatore,To Get 30 or More Disposals,2.35,WBD,GWS
western-bulldogs v greater-western-sydney,R20,marcus bontempelli,To Get 30 or More Disposals,2.45,WBD,GWS
western-bulldogs v greater-western-sydney,R20,caleb daniel,To Get 30 or More Disposals,3.25,WBD,GWS
western-bulldogs v greater-western-sydney,R20,bailey smith,To Get 30 or More Disposals,3.75,WBD,GWS
western-bulldogs v greater-western-sydney,R20,bailey dale,To Get 30 or More Disposals,4.10,WBD,GWS
western-bulldogs v greater-western-sydney,R20,jack macrae,To Get 30 or More Disposals,4.40,WBD,GWS
western-bulldogs v greater-western-sydney,R20,ed richards,To Get 30 or More Disposals,10.50,WBD,GWS
western-bulldogs v greater-western-sydney,R20,tim english,To Get 30 or More Disposals,10.50,WBD,GWS
western-bulldogs v greater-western-sydney,R20,stephen coniglio,To Get 30 or More Disposals,2.08,WBD,GWS
western-bulldogs v greater-western-sydney,R20,josh kelly,To Get 30 or More Disposals,2.30,WBD,GWS
western-bulldogs v greater-western-sydney,R20,lachie whitfield,To Get 30 or More Disposals,3.05,WBD,GWS
western-bulldogs v greater-western-sydney,R20,harry himmelberg,To Get 30 or More Disposals,4.80,WBD,GWS
western-bulldogs v greater-western-sydney,R20,lachie ash,To Get 30 or More Disposals,5.50,WBD,GWS
western-bulldogs v greater-western-sydney,R20,nick haynes,To Get 30 or More Disposals,7.00,WBD,GWS
western-bulldogs v greater-western-sydney,R20,callan ward,To Get 30 or More Disposals,7.50,WBD,GWS
western-bulldogs v greater-western-sydney,R20,finn callaghan,To Get 30 or More Disposals,12.50,WBD,GWS
western-bulldogs v greater-western-sydney,R20,isaac cumming,To Get 30 or More Disposals,16.00,WBD,GWS
western-bulldogs v greater-western-sydney,R20,sam taylor,To Get 30 or More Disposals,19.00,WBD,GWS
western-bulldogs v greater-western-sydney,R20,harry perryman,To Get 30 or More Disposals,21.00,WBD,GWS
gold-coast v brisbane,R20,wil powell,To Get 15 or More Disposals,1.10,GCS,BRL
gold-coast v brisbane,R20,matt rowell,To Get 15 or More Disposals,1.17,GCS,BRL
gold-coast v brisbane,R20,brandon ellis,To Get 15 or More Disposals,1.35,GCS,BRL
gold-coast v brisbane,R20,darcy macpherson,To Get 15 or More Disposals,1.41,GCS,BRL
gold-coast v brisbane,R20,david swallow,To Get 15 or More Disposals,1.45,GCS,BRL
