round,Player,teams,disposals,odds,home,away
R18,toby greene,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.32,ADE,GWS
R18,connor idun,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.46,ADE,GWS
R18,brent daniels,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.50,ADE,GWS
R18,kieren briggs,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.92,ADE,GWS
R18,sam taylor,adelaide v greater-western-sydney,To Get 15 or More Disposals,2.18,ADE,GWS
R18,daniel lloyd,adelaide v greater-western-sydney,To Get 15 or More Disposals,2.25,ADE,GWS
R18,jesse hogan,adelaide v greater-western-sydney,To Get 15 or More Disposals,2.30,ADE,GWS
R18,jack buckley,adelaide v greater-western-sydney,To Get 15 or More Disposals,2.35,ADE,GWS
R18,jake riccardi,adelaide v greater-western-sydney,To Get 15 or More Disposals,3.80,ADE,GWS
R18,ben keays,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.30,ADE,GWS
R18,mitch hinge,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.50,ADE,GWS
R18,brodie smith,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.72,ADE,GWS
R18,rory sloane,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.92,ADE,GWS
R18,wayne milera,adelaide v greater-western-sydney,To Get 20 or More Disposals,2.25,ADE,GWS
R18,chayce jones,adelaide v greater-western-sydney,To Get 20 or More Disposals,2.70,ADE,GWS
R18,lachlan sholl,adelaide v greater-western-sydney,To Get 20 or More Disposals,2.75,ADE,GWS
R18,josh rachele,adelaide v greater-western-sydney,To Get 20 or More Disposals,3.40,ADE,GWS
R18,izak rankine,adelaide v greater-western-sydney,To Get 20 or More Disposals,3.45,ADE,GWS
R18,josh worrell,adelaide v greater-western-sydney,To Get 20 or More Disposals,3.75,ADE,GWS
R18,lachlan murphy,adelaide v greater-western-sydney,To Get 20 or More Disposals,3.80,ADE,GWS
R18,reilly o'brien,adelaide v greater-western-sydney,To Get 20 or More Disposals,5.30,ADE,GWS
R18,taylor walker,adelaide v greater-western-sydney,To Get 20 or More Disposals,6.25,ADE,GWS
R18,riley thilthorpe,adelaide v greater-western-sydney,To Get 20 or More Disposals,7.75,ADE,GWS
R18,stephen coniglio,adelaide v greater-western-sydney,To Get 20 or More Disposals,SUS,ADE,GWS
R18,josh kelly,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.13,ADE,GWS
R18,lachie whitfield,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.31,ADE,GWS
R18,lachie ash,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.50,ADE,GWS
R18,finn callaghan,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.51,ADE,GWS
R18,harry himmelberg,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.53,ADE,GWS
R18,callan ward,adelaide v greater-western-sydney,To Get 20 or More Disposals,1.77,ADE,GWS
R18,isaac cumming,adelaide v greater-western-sydney,To Get 20 or More Disposals,2.25,ADE,GWS
R18,harry perryman,adelaide v greater-western-sydney,To Get 20 or More Disposals,2.30,ADE,GWS
R18,toby greene,adelaide v greater-western-sydney,To Get 20 or More Disposals,2.75,ADE,GWS
R18,brent daniels,adelaide v greater-western-sydney,To Get 20 or More Disposals,3.35,ADE,GWS
R18,connor idun,adelaide v greater-western-sydney,To Get 20 or More Disposals,3.50,ADE,GWS
R18,kieren briggs,adelaide v greater-western-sydney,To Get 20 or More Disposals,5.80,ADE,GWS
R18,sam taylor,adelaide v greater-western-sydney,To Get 20 or More Disposals,7.25,ADE,GWS
R18,daniel lloyd,adelaide v greater-western-sydney,To Get 20 or More Disposals,8.00,ADE,GWS
R18,jack buckley,adelaide v greater-western-sydney,To Get 20 or More Disposals,8.25,ADE,GWS
R18,rory laird,adelaide v greater-western-sydney,To Get 25 or More Disposals,1.26,ADE,GWS
R18,jordan dawson,adelaide v greater-western-sydney,To Get 25 or More Disposals,1.27,ADE,GWS
R18,ben keays,adelaide v greater-western-sydney,To Get 25 or More Disposals,1.98,ADE,GWS
R18,mitch hinge,adelaide v greater-western-sydney,To Get 25 or More Disposals,3.25,ADE,GWS
R18,brodie smith,adelaide v greater-western-sydney,To Get 25 or More Disposals,3.90,ADE,GWS
R18,rory sloane,adelaide v greater-western-sydney,To Get 25 or More Disposals,4.80,ADE,GWS
R18,wayne milera,adelaide v greater-western-sydney,To Get 25 or More Disposals,7.00,ADE,GWS
R18,chayce jones,adelaide v greater-western-sydney,To Get 25 or More Disposals,8.00,ADE,GWS
R18,lachlan sholl,adelaide v greater-western-sydney,To Get 25 or More Disposals,8.50,ADE,GWS
R18,josh rachele,adelaide v greater-western-sydney,To Get 25 or More Disposals,11.00,ADE,GWS
R18,lachlan murphy,adelaide v greater-western-sydney,To Get 25 or More Disposals,11.00,ADE,GWS
R18,izak rankine,adelaide v greater-western-sydney,To Get 25 or More Disposals,12.00,ADE,GWS
R18,josh worrell,adelaide v greater-western-sydney,To Get 25 or More Disposals,15.00,ADE,GWS
R18,stephen coniglio,adelaide v greater-western-sydney,To Get 25 or More Disposals,1.32,ADE,GWS
R18,josh kelly,adelaide v greater-western-sydney,To Get 25 or More Disposals,1.49,ADE,GWS
R18,lachie whitfield,adelaide v greater-western-sydney,To Get 25 or More Disposals,2.20,ADE,GWS
R18,harry himmelberg,adelaide v greater-western-sydney,To Get 25 or More Disposals,3.10,ADE,GWS
R18,lachie ash,adelaide v greater-western-sydney,To Get 25 or More Disposals,3.20,ADE,GWS
R18,finn callaghan,adelaide v greater-western-sydney,To Get 25 or More Disposals,3.30,ADE,GWS
R18,callan ward,adelaide v greater-western-sydney,To Get 25 or More Disposals,3.40,ADE,GWS
R18,isaac cumming,adelaide v greater-western-sydney,To Get 25 or More Disposals,7.00,ADE,GWS
R18,harry perryman,adelaide v greater-western-sydney,To Get 25 or More Disposals,7.75,ADE,GWS
R18,toby greene,adelaide v greater-western-sydney,To Get 25 or More Disposals,10.00,ADE,GWS
R18,brent daniels,adelaide v greater-western-sydney,To Get 25 or More Disposals,11.50,ADE,GWS
R18,rory laird,adelaide v greater-western-sydney,To Get 30 or More Disposals,1.88,ADE,GWS
R18,jordan dawson,adelaide v greater-western-sydney,To Get 30 or More Disposals,2.08,ADE,GWS
R18,ben keays,adelaide v greater-western-sydney,To Get 30 or More Disposals,3.50,ADE,GWS
R18,mitch hinge,adelaide v greater-western-sydney,To Get 30 or More Disposals,9.25,ADE,GWS
R18,brodie smith,adelaide v greater-western-sydney,To Get 30 or More Disposals,11.00,ADE,GWS
R18,rory sloane,adelaide v greater-western-sydney,To Get 30 or More Disposals,14.00,ADE,GWS
R18,wayne milera,adelaide v greater-western-sydney,To Get 30 or More Disposals,26.00,ADE,GWS
R18,chayce jones,adelaide v greater-western-sydney,To Get 30 or More Disposals,29.00,ADE,GWS
R18,stephen coniglio,adelaide v greater-western-sydney,To Get 30 or More Disposals,2.12,ADE,GWS
R18,josh kelly,adelaide v greater-western-sydney,To Get 30 or More Disposals,2.30,ADE,GWS
R18,lachie whitfield,adelaide v greater-western-sydney,To Get 30 or More Disposals,5.10,ADE,GWS
R18,callan ward,adelaide v greater-western-sydney,To Get 30 or More Disposals,7.75,ADE,GWS
R18,harry himmelberg,adelaide v greater-western-sydney,To Get 30 or More Disposals,8.00,ADE,GWS
R18,lachie ash,adelaide v greater-western-sydney,To Get 30 or More Disposals,9.00,ADE,GWS
R18,finn callaghan,adelaide v greater-western-sydney,To Get 30 or More Disposals,9.50,ADE,GWS
R18,harry sheezel,north-melbourne v hawthorn,To Get 15 or More Disposals,SUS,NTH,HAW
R18,bailey scott,north-melbourne v hawthorn,To Get 15 or More Disposals,1.07,NTH,HAW
R18,tarryn thomas,north-melbourne v hawthorn,To Get 15 or More Disposals,1.09,NTH,HAW
R18,luke mcdonald,north-melbourne v hawthorn,To Get 15 or More Disposals,1.16,NTH,HAW
R18,liam shiels,north-melbourne v hawthorn,To Get 15 or More Disposals,1.25,NTH,HAW
R18,george wardlaw,north-melbourne v hawthorn,To Get 15 or More Disposals,1.32,NTH,HAW
R18,cameron zurhaar,north-melbourne v hawthorn,To Get 15 or More Disposals,1.35,NTH,HAW
R18,darcy tucker,north-melbourne v hawthorn,To Get 15 or More Disposals,1.43,NTH,HAW
R18,tom powell,north-melbourne v hawthorn,To Get 15 or More Disposals,1.48,NTH,HAW
R18,tristan xerri,north-melbourne v hawthorn,To Get 15 or More Disposals,1.54,NTH,HAW
R18,jackson archer,north-melbourne v hawthorn,To Get 15 or More Disposals,1.68,NTH,HAW
R18,josh goater,north-melbourne v hawthorn,To Get 15 or More Disposals,1.69,NTH,HAW
R18,aidan corr,north-melbourne v hawthorn,To Get 15 or More Disposals,2.30,NTH,HAW
R18,eddie ford,north-melbourne v hawthorn,To Get 15 or More Disposals,2.30,NTH,HAW
R18,cooper harvey,north-melbourne v hawthorn,To Get 15 or More Disposals,3.80,NTH,HAW
