odds,round,teams,disposals,Player,home,away
7.50,R18,collingwood v fremantle,To Get 25 or More Disposals,patrick lipinski,COL,FRE
8.00,R18,collingwood v fremantle,To Get 25 or More Disposals,darcy moore,COL,FRE
9.50,R18,collingwood v fremantle,To Get 25 or More Disposals,jeremy howe,COL,FRE
1.13,R18,collingwood v fremantle,To Get 25 or More Disposals,andrew brayshaw,COL,FRE
1.99,R18,collingwood v fremantle,To Get 25 or More Disposals,luke ryan,COL,FRE
2.18,R18,collingwood v fremantle,To Get 25 or More Disposals,jaeger o'meara,COL,FRE
2.50,R18,collingwood v fremantle,To Get 25 or More Disposals,liam henry,COL,FRE
2.95,R18,collingwood v fremantle,To Get 25 or More Disposals,james aish,COL,FRE
4.75,R18,collingwood v fremantle,To Get 25 or More Disposals,jordan clark,COL,FRE
5.10,R18,collingwood v fremantle,To Get 25 or More Disposals,matt johnson,COL,FRE
11.00,R18,collingwood v fremantle,To Get 25 or More Disposals,neil erasmus,COL,FRE
11.50,R18,collingwood v fremantle,To Get 25 or More Disposals,luke jackson,COL,FRE
12.00,R18,collingwood v fremantle,To Get 25 or More Disposals,sean darcy,COL,FRE
1.40,R18,collingwood v fremantle,To Get 30 or More Disposals,nick daicos,COL,FRE
2.85,R18,collingwood v fremantle,To Get 30 or More Disposals,tom mitchell,COL,FRE
3.35,R18,collingwood v fremantle,To Get 30 or More Disposals,josh daicos,COL,FRE
3.50,R18,collingwood v fremantle,To Get 30 or More Disposals,jordan de goey,COL,FRE
5.40,R18,collingwood v fremantle,To Get 30 or More Disposals,scott pendlebury,COL,FRE
9.50,R18,collingwood v fremantle,To Get 30 or More Disposals,john noble,COL,FRE
10.00,R18,collingwood v fremantle,To Get 30 or More Disposals,jack crisp,COL,FRE
13.00,R18,collingwood v fremantle,To Get 30 or More Disposals,taylor adams,COL,FRE
14.00,R18,collingwood v fremantle,To Get 30 or More Disposals,isaac quaynor,COL,FRE
19.00,R18,collingwood v fremantle,To Get 30 or More Disposals,brayden maynard,COL,FRE
26.00,R18,collingwood v fremantle,To Get 30 or More Disposals,patrick lipinski,COL,FRE
29.00,R18,collingwood v fremantle,To Get 30 or More Disposals,darcy moore,COL,FRE
1.61,R18,collingwood v fremantle,To Get 30 or More Disposals,andrew brayshaw,COL,FRE
3.60,R18,collingwood v fremantle,To Get 30 or More Disposals,luke ryan,COL,FRE
4.90,R18,collingwood v fremantle,To Get 30 or More Disposals,jaeger o'meara,COL,FRE
5.00,R18,collingwood v fremantle,To Get 30 or More Disposals,liam henry,COL,FRE
6.25,R18,collingwood v fremantle,To Get 30 or More Disposals,james aish,COL,FRE
12.50,R18,collingwood v fremantle,To Get 30 or More Disposals,matt johnson,COL,FRE
1.06,R18,gold-coast v st-kilda,To Get 15 or More Disposals,darcy macpherson,GCS,STK
1.07,R18,gold-coast v st-kilda,To Get 15 or More Disposals,matt rowell,GCS,STK
1.09,R18,gold-coast v st-kilda,To Get 15 or More Disposals,rory atkins,GCS,STK
1.10,R18,gold-coast v st-kilda,To Get 15 or More Disposals,sam flanders,GCS,STK
1.11,R18,gold-coast v st-kilda,To Get 15 or More Disposals,wil powell,GCS,STK
1.12,R18,gold-coast v st-kilda,To Get 15 or More Disposals,brayden fiorini,GCS,STK
1.14,R18,gold-coast v st-kilda,To Get 15 or More Disposals,lachie weller,GCS,STK
1.33,R18,gold-coast v st-kilda,To Get 15 or More Disposals,david swallow,GCS,STK
1.41,R18,gold-coast v st-kilda,To Get 15 or More Disposals,brandon ellis,GCS,STK
1.41,R18,gold-coast v st-kilda,To Get 15 or More Disposals,charlie ballard,GCS,STK
1.55,R18,gold-coast v st-kilda,To Get 15 or More Disposals,ben ainsworth,GCS,STK
1.72,R18,gold-coast v st-kilda,To Get 15 or More Disposals,bailey humphrey,GCS,STK
1.93,R18,gold-coast v st-kilda,To Get 15 or More Disposals,sam collins,GCS,STK
1.94,R18,gold-coast v st-kilda,To Get 15 or More Disposals,jarrod witts,GCS,STK
1.96,R18,gold-coast v st-kilda,To Get 15 or More Disposals,jack lukosius,GCS,STK
2.30,R18,gold-coast v st-kilda,To Get 15 or More Disposals,nick holman,GCS,STK
SUS,R18,gold-coast v st-kilda,To Get 15 or More Disposals,nasiah wanganeen-milera,GCS,STK
