teams,disposals,round,Player,odds,home,away
brisbane v west-coast,To Get 30 or More Disposals,R17,alex witherden,4.50,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,andrew gaff,14.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,jayden hunt,17.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,tom barrass,26.00,BRL,WCE
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,lachie ash,1.06,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,finn callaghan,1.09,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,harry himmelberg,1.11,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,isaac cumming,1.19,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,callan ward,1.20,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,harry perryman,1.20,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,toby greene,1.32,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,connor idun,1.45,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,xavier o'halloran,1.74,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,daniel lloyd,1.81,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,toby bedford,1.93,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,kieren briggs,2.12,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,jesse hogan,2.90,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,callum m. brown (gws),4.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,karl amon,1.09,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,dylan moore,1.10,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,blake hardwick,1.13,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,josh ward,1.13,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,seamus mitchell,1.13,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,jack scrimshaw,1.26,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,josh weddle,1.33,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,connor macdonald,1.43,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,chad wingard,1.47,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,mitch lewis,2.30,GWS,HAW
