Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Witts, Jarrod",R2,goldcoast,ES,12.0,6.0,6.0,1.0,0.0,4.0,5.0,0.0,7.0,5.0,36.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,90,-,0.0,2.0,0.0
"Ainsworth, Ben",R3,goldcoast,GE,16.0,10.0,6.0,0.0,1.0,5.0,1.0,3.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,85,-,3.0,0.0,0.0
"Anderson, Noah",R3,goldcoast,GE,21.0,13.0,8.0,1.0,0.0,1.0,7.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,89,-,3.0,1.0,0.0
"Andrew, Mac",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Atkins, Rory",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Ballard, Charlie",R3,goldcoast,GE,14.0,11.0,3.0,1.0,0.0,5.0,1.0,0.0,7.0,7.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,100,-,4.0,4.0,0.0
"Berry, Tom",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Casboult, Levi",R3,goldcoast,GE,18.0,10.0,8.0,0.0,1.0,7.0,1.0,1.0,11.0,6.0,3.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,90,-,6.0,0.0,0.0
"Chol, Mabior",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Collins, Sam",R3,goldcoast,GE,16.0,9.0,7.0,0.0,0.0,4.0,0.0,5.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100,-,1.0,6.0,0.0
"Constable, Charlie",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Davies, Alex",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Day, Sam",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Brandon",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Farrar, Jy",R3,goldcoast,GE,14.0,7.0,7.0,0.0,1.0,4.0,1.0,2.0,9.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,73,-,3.0,4.0,2.0
"Fiorini, Brayden",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Flanders, Sam",R3,goldcoast,GE,7.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28,Off,1.0,2.0,0.0
"Hollands, Elijah",R3,goldcoast,GE,12.0,6.0,6.0,0.0,0.0,4.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,80,-,4.0,0.0,0.0
"Holman, Nick",R3,goldcoast,GE,19.0,9.0,10.0,0.0,2.0,2.0,0.0,6.0,8.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,79,-,1.0,1.0,0.0
"Humphrey, Bailey",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Jeffrey, Joel",R3,goldcoast,GE,9.0,6.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,65,-,4.0,1.0,1.0
"King, Ben",R3,goldcoast,GE,7.0,5.0,2.0,1.0,2.0,4.0,0.0,2.0,3.0,5.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,90,-,3.0,4.0,0.0
"Lemmens, Sean",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Long, Ben",R3,goldcoast,GE,19.0,12.0,7.0,0.0,0.0,2.0,0.0,1.0,7.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,86,-,4.0,6.0,0.0
"Lukosius, Jack",R3,goldcoast,GE,13.0,11.0,2.0,5.0,2.0,9.0,0.0,0.0,6.0,8.0,0.0,3.0,5.0,0.0,0.0,2.0,4.0,0.0,76,-,2.0,2.0,0.0
"Macpherson, Darcy",R3,goldcoast,GE,24.0,15.0,9.0,0.0,0.0,9.0,0.0,2.0,9.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,6.0,97,-,4.0,2.0,1.0
"Miller, Touk",R3,goldcoast,GE,20.0,11.0,9.0,0.0,0.0,4.0,7.0,6.0,12.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,85,-,2.0,1.0,0.0
"Moyle, Ned",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
